d1,d2,d3,L,a,b
0.0425216234458,0.270115998906,0.0193211196424,22.069802056,-10.4359466772,-34.4917448239
0.0177595653753,0.797463520236,0.00441687024648,65.7256629204,-2.69128447641,-16.8395894121
0.00359926037292,0.453790291684,0.0207799431506,69.2840511348,-26.8064551395,-0.610054177976
0.0264943024664,0.116920209511,0.00926951365435,63.5060783282,-21.640947589,-1.01258211058
0.0232577130924,0.744393292757,0.0297319355475,36.9022394981,22.887671109,-18.8881063636
0.0466185316425,0.97221421278,0.00576552065004,23.4762108433,7.39897828419,-19.7309823403
0.0146432326213,0.295309403431,0.0183132893991,71.4488880163,-59.1365630588,21.3849963478
0.0393248332923,0.394518234357,0.046095647198,4.92666154624,58.9082979303,-53.4159103154
0.0263019239481,0.604559323193,0.00974034938699,44.1540834771,-3.72257662039,-21.1922329326
0.016225860195,0.402173257621,0.0408798977615,18.9877654035,44.2640570481,-57.3133532978
0.0202046134507,0.377625818311,0.0202221635334,40.2348004895,65.2239347317,-51.9443455218
0.0117623577305,0.0547260833255,0.0149913844693,55.2549179061,6.15683063186,-40.7226724537
0.0134968555261,0.02344796032,0.033822762204,21.1250129599,6.42348753849,-23.6175285725
0.0261683097274,0.20442408533,0.00413137948673,44.8361533176,11.0347805791,-30.677177914
0.000653118970495,0.384224729198,0.047633890204,25.5769405213,-0.381920621308,-23.4441300935
0.00934010267493,0.580250160728,0.0319838342885,39.1420394656,18.8632852634,-27.327894563
0.033786714987,0.27726494959,0.0146874258572,37.8682813217,-38.1206385123,-19.2733454159
0.012068564897,0.00955297034259,0.0316231843405,26.0652435399,4.03047717077,-21.0049639249
0.0327862528432,0.036207857462,0.0400425408664,3.29696529761,4.96303242478,-15.1850960645
0.0144046351546,0.134362981316,0.00791474729852,80.7185560996,4.00658384328,11.3359076562
0.0345989837272,0.176858937629,0.0420225510133,8.89013901016,21.8888552026,-0.877167023354
0.0235987934533,0.797849535854,0.0287202612052,35.3082866,7.30162257471,-19.123289895
0.0363077650504,0.764196297815,0.0247716839494,26.7348740937,20.8171982058,-14.1541589925
0.0115117341061,0.818874283964,0.0282827366513,47.8890653116,-11.0160469119,-22.6018019421
0.0377404280124,0.98721841656,0.0264364099085,26.0914969733,13.1566010788,-23.1462815235
0.0210393604931,0.0591373928238,0.0299050081657,19.2667889957,23.3049100895,-42.8916948034
0.0338150856749,0.527874256305,0.0102632712927,40.7394157609,18.8806851301,-22.1937927907
0.0492287743073,0.592012506789,0.0150806320879,15.5776429984,15.3112396304,-22.779898768
0.0304027397013,0.517428061547,0.00816208267689,46.9795393027,7.82177920326,-16.6705122111
0.0112940305186,0.0997627634597,0.00144121058579,84.0073147025,-2.7612035107,-8.07077278259
0.00912103014095,0.569606851844,0.0211426935469,55.9263320959,30.175395013,-29.6920616635
0.0484256156092,0.954776985487,0.0468017680874,6.94675854324,11.3959699735,-17.1441992581
0.00323458625653,0.289870384921,0.0360938534485,46.2769245743,-10.4663618533,1.29163719623
0.0240294022038,0.0867612132084,0.0107792493109,52.6616676624,1.40673576164,-45.1220049092
0.0101762972639,0.660686887671,0.0146364904699,72.6911528773,-26.4203107813,-11.6303327377
0.0293242621535,0.0251172871787,0.0270682104655,12.0095087934,6.629520007,-20.3346738251
0.047912710531,0.730074249544,0.0141644435277,21.5689375243,13.4991618976,-19.9167612852
0.0246730882057,0.901769456349,0.0202013991852,45.3830077338,-4.39465812293,-16.2540329134
0.00822860334659,0.163658717342,0.0440572582616,25.1944520396,12.6757469091,-8.33942354066
0.00893844440584,0.641395025698,0.00160876505823,86.4537136438,-6.8075359648,-6.81690560012
0.013814846768,0.228052449054,0.00920710023631,60.4621812507,10.0362787637,-47.9151909433
0.0132948825257,0.49738640215,0.00272885173601,78.814882669,-2.19528582468,-8.1693597939
0.0154561594748,0.724896425459,0.0403344780363,32.1222691274,15.3934752479,-21.5381509137
0.0333893150877,0.489281474379,0.0442982862439,24.0500654074,-45.7199774267,11.806162467
0.047942746072,0.750006767393,0.019638099811,18.9565070487,16.3653036215,-16.157066187
0.0236226665672,0.235952360569,0.0200662662459,29.0309288895,54.9039016125,-77.6607882587
0.020694360095,0.677451802712,0.0205679879634,53.1233561663,-21.706127814,-19.1931031702
0.0219931263484,0.365581114237,0.0472604924277,18.9142776319,47.4782466305,-24.886830428
0.0477809671058,0.397406551429,0.0188221055281,11.1875838077,48.3397864066,-51.0458264124
0.00194494245405,0.214669884086,0.0321565129821,44.37204619,4.26857597218,-35.762025986
0.0119629208249,0.0982271064463,0.00887086492924,86.1947013181,-16.504604083,-6.35383495214
0.0080414162592,0.0580391835266,0.0202714275258,55.970102346,5.13956283741,-41.0119037296
0.0400788959201,0.0455989991292,0.0245483548356,6.59049740505,10.9453477626,-23.4119741423
0.0198017003988,0.376581874474,0.0012966868372,62.4466646474,5.92601795638,-21.7566371486
0.0144161168076,0.25267715399,0.0300531319229,35.758452258,12.4928127332,-58.1069134575
0.0184447153176,0.350267206951,0.0165040185229,58.3777794377,43.1586161455,-6.03787530177
0.022420920796,0.307551562136,0.0335907224754,47.4780266479,-64.1839895587,32.604877488
